2026-02-09 09:05:46 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,900,000 rows so far...
2026-02-09 09:06:05 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,950,000 rows so far...
2026-02-09 09:06:12 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | Reading bccp_orderitem_1011_1020_2025.csv
2026-02-09 09:06:31 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,019,118 rows so far...
2026-02-09 09:06:50 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,069,118 rows so far...
2026-02-09 09:07:10 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,119,118 rows so far...
2026-02-09 09:07:29 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,169,118 rows so far...
2026-02-09 09:07:47 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,219,118 rows so far...
2026-02-09 09:08:05 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,269,118 rows so far...
2026-02-09 09:08:24 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,319,118 rows so far...
2026-02-09 09:08:41 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,369,118 rows so far...
2026-02-09 09:09:00 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,419,118 rows so far...
2026-02-09 09:09:18 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,469,118 rows so far...
2026-02-09 09:09:37 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,519,118 rows so far...
2026-02-09 09:09:55 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,569,118 rows so far...
2026-02-09 09:10:13 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,619,118 rows so far...
2026-02-09 09:10:32 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,669,118 rows so far...
2026-02-09 09:10:50 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,719,118 rows so far...
2026-02-09 09:11:08 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,769,118 rows so far...
2026-02-09 09:11:28 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,819,118 rows so far...
2026-02-09 09:11:47 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,869,118 rows so far...
2026-02-09 09:12:06 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,919,118 rows so far...
2026-02-09 09:12:24 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 4,969,118 rows so far...
2026-02-09 09:12:42 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,019,118 rows so far...
2026-02-09 09:13:06 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,069,118 rows so far...
2026-02-09 09:13:26 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,119,118 rows so far...
2026-02-09 09:13:44 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,169,118 rows so far...
2026-02-09 09:14:04 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,219,118 rows so far...
2026-02-09 09:14:22 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,269,118 rows so far...
2026-02-09 09:14:40 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,319,118 rows so far...
2026-02-09 09:15:01 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,369,118 rows so far...
2026-02-09 09:15:20 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,419,118 rows so far...
2026-02-09 09:15:40 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,469,118 rows so far...
2026-02-09 09:15:58 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,519,118 rows so far...
2026-02-09 09:16:16 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,569,118 rows so far...
2026-02-09 09:16:35 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,619,118 rows so far...
2026-02-09 09:16:53 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,669,118 rows so far...
2026-02-09 09:17:13 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,719,118 rows so far...
